,operator,operatorLabel,C1,C2,C3,C4,C5,C6,C7,H1,H2,H3,H4,H5,H6,H7,H8,einspeisetarif
0,CHE-105.981.944,AEW Energie AG,35.31640625,34.13245,32.9,31.6325,26.817566666666668,26.63761111111111,26.07129979666667,39.9828681547619,37.14514285714286,33.94730158730159,35.06070634920635,33.03085238095238,30.49185,32.34634615384616,33.99444047619048,14.82
1,CHE-108.732.136,AG Elektrizitätswerk Maienfeld,30.9,29.69,29.53,29.202,29.074,28.738,28.24072,37.5,34.53,31.183333333333337,31.183333333333337,30.61,28.958,29.611538461538466,31.01,17.5
2,CHE-458.596.026,Arosa Energie,27.105625,25.75873333333333,22.514666666666667,21.3515,21.3515,21.56843333333333,20.0230682,33.995,30.458,25.398444444444443,27.760666666666665,24.342266666666667,20.96856,24.427230769230768,26.4822,10.59
3,CHE-439.680.689,Azienda Elettrica Grevasalvas,,,,,,,,43.79,37.04,31.706666666666667,31.706666666666667,29.04,26.24,27.34769230769231,29.04,17.62
4,CHE-103.258.498,BKW Energie AG,29.7825,27.88,28.43776111111111,26.402171666666668,24.10171833333333,23.89656,22.50901477688889,37.4325,33.99,31.27,31.27,29.91,22.9644,27.43776923076923,29.91,4.46
5,CHE-105.941.235,CKW AG,30.1845,30.104,28.332444444444445,27.132066666666667,25.241,25.028,23.887575866666666,30.03375,29.9004,28.678,29.826,27.9956,26.00368,28.07053846153846,29.8268,5.22
6,CHE-109.350.300,die werke versorgung wallisellen ag,31.515625,30.839,31.45733333333333,27.563866666666662,27.143866666666668,26.692844444444443,25.055768066666666,34.84181547619048,33.20428571428572,31.713492063492065,31.933968253968253,31.10323809523809,30.22597142857143,30.76065934065934,31.294047619047618,14.33
7,CHE-113.559.412,Dorfkorporation Ebnat-Kappel,31.704375,30.398466666666668,28.019416666666668,27.19495,25.11295,24.30090555555556,23.31295653333333,35.961309523809526,32.93342857142857,29.42968253968254,30.703333333333333,28.451714285714285,26.070514285714285,28.114725274725277,29.53026984126984,12.53
8,CHE-102.120.437,"Elektra-Genossenschaft, Fischbach-Göslikon",35.8171875,34.7823,34.81733333333333,34.28086666666667,,,,40.47790178571429,38.00057142857143,35.511428571428574,36.10671428571428,34.631742857142854,33.06952285714286,34.194164835164834,35.146928571428575,22.78
9,CHE-104.043.575,Elektragenossenschaft Mellikon,32.6921875,31.5207,30.688666666666663,29.92993333333333,,,,37.514806547619045,34.73942857142857,31.699682539682534,32.647730158730155,30.76092380952381,28.758277142857143,30.357373626373622,31.58140476190476,17.05
10,CHE-426.285.214,Elektra Widen Betriebs AG,21.44140625,20.17405,21.52,20.5435,,12.453055555555556,,27.09676339285714,24.06628571428572,20.99238095238095,21.75302380952381,19.92167142857143,17.981501428571427,19.39639010989011,20.579964285714286,7
11,CHE-115.720.931,Genossenschaft Werk Bichelsee-Balterswil,29.6765625,28.3017,26.543333333333333,25.706666666666667,24.606666666666666,24.120444444444445,23.312328066666662,35.972991071428574,32.67514285714286,29.41952380952381,30.14709523809524,28.23768571428572,26.216305714285717,27.635175824175825,28.86735714285714,13.5
12,CHE-104.092.651,Genossenschaft Elektra Ehrendingen,42.44552083333333,40.39801111111111,39.50066666666667,38.51753333333333,,,,51.01605654761904,46.16942857142857,40.92523809523809,42.507507936507935,39.27279047619048,30.09535142857143,38.5446043956044,40.64140476190476,16.88
13,CHE-102.426.304,"Genossenschaft Elektra, Jegenstorf",33.2,32.17,32.55,32.168,,,,38.8,36.28,34.28666666666667,34.28666666666667,33.29,30.946,32.00153846153846,33.29,16
14,CHE-108.226.494,Elektra Häuslenen,,,,21.2885,20.903976,,,28.146949404761905,25.341142857142856,21.78952380952381,23.25531746031746,16.791990476190477,18.41921428571429,17.725406593406593,22.18923015873016,14.51
15,CHE-272.236.554,Elektra Neuendorf,26.692375,26.332066666666663,25.334666666666667,24.133466666666667,9.398,9.006,8.51224,28.36,27.5156,26.508666666666667,26.868666666666662,26.2284,24.49798,25.36380769230769,26.548866666666665,14.4
16,CHE-115.866.658,Elektra Oberegg,36.10265625,34.76995,35.274,33.212,9.775,9.479477777777776,8.984908355555556,39.70491071428572,36.66085714285714,32.83380952380952,34.46333333333333,31.91042857142857,29.20812857142857,31.687335164835165,33.29034523809524,19.7
17,CHE-100.577.062,Elektra Steinebrunn,25.5415625,23.9201,24.43,24.591366666666666,,,,33.050714285714285,29.18657142857143,25.18809523809524,26.246380952380957,23.837542857142857,21.284262857142856,23.19501098901099,24.75342857142857,7.9
18,CHE-103.903.235,Elektra- und Wasserkorporation Grub SG,46.14,43.8596,41.172666666666665,39.816,,,,54.53214285714286,49.185428571428574,43.39190476190476,45.19,41.574,37.7772,40.84318681318681,43.11038095238095,14
19,CHE-101.671.574,Elektra Untereggen,33.85,32.75,31.17,30.73,,,,39.85,37.15,35.016666666666666,35.016666666666666,33.95,32.83,33.27307692307692,33.95,15.34
20,CHE-108.954.145,Elektra Walzenhausen,29.315859375,27.87385833333333,25.95825,23.94115,17.16315,16.398877777777777,15.7390604,33.53534226190476,30.221714285714285,26.18984126984127,27.81,25.15835714285714,22.352507142857142,24.464574175824172,26.53034325396825,18.36
21,CHE-103.975.045,Elektra Wolfwil AG,32.6,32.05,31.35,31.23,30.162,30.154,30.1508,35.6,34.25,33.18333333333333,33.18333333333333,32.65,32.09,32.31153846153846,32.65,17
22,CHE-108.963.977,Elektra Zihlschlacht-Riet,36.35,34.2557,31.83,30.6685,26.1766,25.485488888888888,24.256147884444445,44.94276785714285,39.91571428571429,34.51761904761905,36.08380952380952,32.78057142857143,29.273171428571427,31.978571428571428,34.143095238095235,15.7
23,CHE-102.404.863,Elektrizitätsgenossenschaft Brüschwil-Sonnenberg,37.73,36.240833333333335,34.636,,,,,44.03818452380953,40.455714285714286,36.71095238095238,37.71492063492064,35.455238095238094,33.05757142857143,34.85087912087912,36.3286507936508,22.64
24,CHE-102.375.919,Genossenschaft Elektra Egnach,21.6275,19.9376,20.078666666666667,19.26393333333333,17.638566666666666,17.383944444444445,16.753487696666667,29.970357142857143,25.878285714285717,22.17238095238095,22.70152380952381,20.64377142857143,18.47113142857143,19.7511978021978,21.07823928571429,14.04
25,CHE-107.130.868,Elektra-Genossenschaft Künten,31.605,30.3652,31.3695,30.642466666666667,,,,36.61071428571429,33.656571428571425,30.35142857142857,31.44971428571429,29.36754285714286,27.162262857142856,28.96578021978022,30.31342857142857,18.46
26,CHE-100.375.794,ELEKTRAGENOSSENSCHAFT OLSBERG,34.22890625,33.03165,34.84733333333333,34.018366666666665,,,,38.62712053571428,35.82457142857143,32.45809523809524,33.74788095238095,31.56544285714286,29.244632857142857,31.260434065934067,32.68167857142857,17.3
27,CHE-104.092.438,Elektrizitäts-Genossenschaft Aettenschwil,32.03,30.93,30.61,,,,,38.03,35.33,33.196666666666665,33.196666666666665,32.13,31.01,31.453076923076924,32.13,14.04
28,CHE-445.926.634,Elektra Horn AG,29.503125,27.9598,28.67,13.7466,23.688866666666662,23.105444444444444,10.110888806666669,37.84836309523809,34.06485714285714,31.036031746031743,31.080126984126984,29.548647619047617,27.93959428571429,28.61367032967033,29.586809523809524,22.92
29,CHE-102.192.514,Elektrizitäts - Genossenschaft Mülligen,30.605208333333337,29.935,28.438,27.838733333333337,8.0707,7.665016666666666,7.097321353333333,32.880208333333336,31.09,28.494444444444444,29.837777777777777,28.987809523809524,25.61828,27.45938461538461,29.19833333333333,15.33
30,CHE-107.095.580,Genossenschaft EW Münchwilen (EWM),35.2,33.76403333333333,32.89,31.3156,30.7792,30.24115555555555,0.0,39.47604166666667,36.094,31.63,33.59777777777778,30.606666666666666,27.417,30.334615384615383,32.318555555555555,20.23
31,CHE-114.618.945,EW Oftringen AG,38.88125,37.612,34.68866666666667,32.888,31.451066666666662,31.557111111111112,29.56228784,40.746428571428574,37.94428571428571,33.76904761904762,36.016666666666666,33.04714285714286,29.420871428571427,32.67997252747253,34.95047619047619,17
32,CHE-112.340.928,EWD,36.15014583333333,34.43447777777778,32.12,29.604,,,,42.925,40.36,36.74377777777778,37.52377777777778,36.474266666666665,35.37228,35.80823076923077,35.92421111111111,15
33,CHE-115.185.475,EWK Energie AG,38.48703125,39.82205,38.424,37.743,37.06,36.52106666666667,35.52734293333334,37.55669642857143,37.53371428571428,37.07428571428572,37.58,37.151857142857146,36.69555714285714,37.31370879120879,37.580107142857145,26
34,CHE-299.323.312,Energie Oberhofen AG,27.87155208333333,26.482227777777776,22.76172222222222,21.95748333333333,,,,32.7,30.5148,25.99711111111111,28.127111111111116,25.058866666666667,21.54474,24.142961538461535,26.95496111111111,11
35,CHE-100.603.133,Elektrizitäts-Genossenschaft Benzenschwil,28.35,28.276666666666667,28.26,28.253,,,,28.75,28.57,28.427777777777777,28.427777777777777,28.356666666666666,28.282,28.31153846153846,28.356666666666666,18.95
36,CHE-102.331.477,Elektrizitätsgenossenschaft Binn,21.95,20.85,20.53,20.474,,,,27.95,25.25,23.116666666666667,23.116666666666667,22.05,20.93,21.373076923076923,22.05,7.55
37,CHE-103.358.869,Elektra Böttstein,33.38484375,31.929266666666667,33.174,32.3204,,,,40.01279761904762,36.548,33.26,33.901650793650795,32.00541904761905,30.006625714285715,31.35774175824176,32.54710714285714,12.45
38,CHE-103.305.347,Elektrizitätsgenossenschaft Bubikon,30.296875,29.477,29.326,28.9128,26.78,26.34,25.71472,33.675446428571426,31.732857142857146,29.607142857142858,30.268571428571427,28.94971428571429,27.549914285714287,28.666593406593407,29.522142857142857,18.2
39,CHE-100.584.435,Elektrizitäts-Genossenschaft Diemtigen,30.39823958333333,29.114994444444445,0.0,0.0,0.0,0.0,0.0,36.678333333333335,33.6252,30.39177777777778,31.261777777777777,27.992066666666663,24.53262,26.51657692307692,30.088927777777776,12.89
40,CHE-103.413.304,Elektrizitätsgenossenschaft Gsteig,31.45,30.57,31.51,,,,,36.25,34.09,32.38333333333333,32.38333333333333,31.53,30.634,30.98846153846154,31.53,13
41,CHE-104.092.473,Elektrizitätsgenossenschaft Jonen,40.425,39.325,39.005,38.949,,,,46.425,43.725,41.59166666666667,41.59166666666667,40.525,39.405,39.84807692307693,40.525,27.36
42,CHE-103.363.907,Elektrizitäts-Genossenschaft Merenschwand,33.203125,32.1566,30.68133333333333,30.178066666666663,29.5779,29.1855,28.61243963,37.67217261904762,35.18257142857143,32.54587301587301,33.29549206349206,31.687009523809525,29.981102857142854,31.293934065934067,32.3357619047619,20.1
43,CHE-102.456.943,Elektrizitätsgenossenschaft Moosegg,30.970453125,29.808008333333333,,,,,,36.1575,33.4592,30.010666666666665,31.405666666666665,29.1513,26.73539,28.83575,30.39310833333333,17.85
44,CHE-101.689.692,Elektrizitätsgenossenschaft Mühlau,35.15,34.6,33.42,33.04,,,,38.15,36.8,35.733333333333334,35.733333333333334,35.2,34.64,34.86153846153846,35.2,19.3
45,CHE-106.954.430,Elektrizitätsgenossenschaft Otelfingen,36.159375,35.3546,35.07666666666667,34.211333333333336,31.487,31.14966666666667,30.4917321,38.58080357142857,36.731142857142856,34.20619047619048,35.3967619047619,33.67348571428571,31.837045714285715,33.57679120879121,34.703857142857146,12.92
46,CHE-102.773.415,Elektra Rudolfstetten-Friedlisberg AG,39.80625,38.7564,38.440666666666665,37.80753333333333,,,,44.22053571428572,41.72742857142857,39.04857142857143,39.84228571428572,38.19565714285714,36.44869714285714,37.8152967032967,38.88257142857143,24.2
47,CHE-102.451.621,Elektrizitätsgenossenschaft Schangnau,36.01744791666667,37.15430555555555,34.144444444444446,33.345666666666666,,,,42.15,39.63,36.30555555555556,37.05555555555556,35.108333333333334,33.0375,34.349423076923074,35.77597222222222,12.91
48,CHE-100.082.211,Elektrizitäts-Genossenschaft Siggenthal,34.56375,33.254,30.3,29.3175,29.18103333333333,28.88018888888889,27.553173543333333,39.52089285714285,36.44571428571429,32.83428571428571,34.15714285714286,31.83942857142857,29.37582857142857,31.476263736263736,32.98428571428571,16.5
49,CHE-104.177.891,Elektrizitätsgenossenschaft Zeneggen,29.6825,27.998,27.692,26.6696,,,,37.7,33.668,28.526666666666667,30.58,27.236,23.6408,26.733846153846155,29.088,10
50,CHE-102.373.145,Elektrizitätsgenossenschaft Schüpbach,26.8,28.1,14.45,,,,,32.55,29.85,27.966666666666665,27.966666666666665,26.9,22.39,23.897692307692303,26.9,16.37
51,CHE-103.298.345,Elektrizitätsgenossenschaft Marthalen,31.725,30.68,26.723266666666667,26.42698,25.44608,25.348693333333333,,37.425,34.86,32.833333333333336,32.833333333333336,31.82,30.756,31.17692307692308,31.82,17.83
52,CHE-107.265.333,Elektrizitätsversorgung Altendorf AG,37.21690625,35.94269,33.11586666666667,32.370196666666665,29.24045,28.706676666666667,28.047487334,42.68476339285714,39.309485714285714,35.20091428571428,36.80600158730159,34.106524761904765,32.30198142857143,34.34642087912088,35.52748428571429,18.65
53,CHE-114.670.785,Elektra Fulenbach (EFU),37.6,37.05,39.05,36.29,,,,40.6,39.25,38.18333333333333,38.18333333333333,37.65,37.09,37.31153846153846,37.65,23
54,CHE-115.951.347,EV Gebenstorf AG,33.5609375,32.3695,29.876666666666665,29.06033333333333,10.173366666666666,9.767277777777778,9.129914856666666,38.05498511904762,35.25857142857143,31.96587301587301,33.178492063492065,31.062809523809523,28.22264,30.171230769230768,32.11226190476191,18.06
55,CHE-115.436.281,Elektrizitätsversorgung Innerthal,39.579390625,37.2272,18.363333333333333,,,,,45.02708333333333,41.738,38.58777777777778,39.20511111111111,40.40454761904762,,39.50770604395604,40.10118452380952,14.44
56,CHE-107.286.513,Elektrizitätsversorgung Kaltbrunn AG,33.5346875,32.20903333333333,28.274416666666667,27.45515,26.29615,25.505222222222223,24.61366235555555,37.30922619047619,34.26942857142857,30.52746031746032,32.06333333333333,29.578,26.9684,29.13664835164835,30.8903253968254,15
57,CHE-105.966.488,EWA-energieUri AG,31.618375,30.588066666666663,27.394,26.3473,24.2799,24.24103333333333,,37.395,34.4016,29.79288888888889,32.14533333333333,28.92053333333333,26.924,28.592615384615385,31.0814,12.33
58,CHE-115.304.952,EDSR Energiedienste Staldenried AG,26.52,25.75,27.422,26.8284,,,,30.72,28.83,26.90888888888889,27.336666666666662,26.246666666666663,24.618,25.95846153846154,27.01833333333333,9
59,CHE-115.584.036,Energie Gossau AG,33.825,32.99465,31.124,30.16415,,,,36.50334821428572,34.53942857142857,32.055238095238096,33.07928571428572,31.44214285714286,29.697642857142856,31.24945054945055,32.33302380952381,18.31
60,CHE-107.893.647,endigo Holding AG,23.19405208333333,22.350519444444444,22.801375,21.999675,,,,27.95,25.2544,22.64133333333333,23.690555555555555,21.99093333333333,20.15978,21.723846153846157,22.94462777777778,12
61,CHE-107.067.425,Elektrizitätswerk Heiden AG,39.78465625,33.818575,30.845241666666663,28.548225,25.343055,26.15333111111111,23.761148422222224,37.69352083333333,34.3573,30.223033333333333,31.915931746031745,28.961897142857143,27.915993142857143,29.787726373626377,30.63767753968254,14.72
62,CHE-313.588.113,Societad Ovra electrica Lumbrein,29.44375,28.918333333333333,28.596666666666668,27.65,,,,33.625,31.39,30.794444444444444,32.50555555555555,29.043333333333333,25.42685714285714,28.196153846153845,30.586666666666662,12.42
63,CHE-107.914.120,Elektrizitätswerk Obergoms AG,23.27,22.06,23.144666666666662,23.07095,19.48685,19.312116666666668,19.11433333333333,29.87,26.9,24.55333333333333,24.55333333333333,23.38,22.148,22.635384615384616,23.38,11.05
64,CHE-108.954.530,Elektrizitätswerk Obwalden,29.66265625,28.197033333333337,27.312666666666665,26.1312,23.4256,23.04533333333333,22.064404906666667,35.001666666666665,32.053714285714285,29.012063492063493,29.776190476190475,27.96157142857143,26.03547142857143,27.431346153846157,28.629853174603173,4.33
65,CHE-103.310.236,Genossenschaft Elektrizitätswerk Räterschen EWR,33.06,32.246,34.29104,33.578312,,,,37.5,35.502,33.92333333333333,33.92333333333333,33.134,32.3052,32.63307692307692,33.134,18.2
66,CHE-106.954.795,Elektrizitätswerk Rümlang Genossenschaft,34.49109375,33.42811,29.42013333333333,28.522706666666668,26.26653333333333,25.80875555555556,25.09327045333333,38.68906994047619,36.182114285714285,33.336730158730155,34.30462063492063,32.50731523809524,30.59819457142857,32.177179120879124,33.344969047619045,14.62
67,CHE-112.557.623,Elektrizitätswerk Schindellegi,27.7025,26.61889833333333,25.4048,24.44408,,,,30.742447916666663,28.1978,24.741,26.32927777777778,23.988166666666668,21.49045,23.53648901098901,25.369905555555555,5.83
68,CHE-116.387.219,Technische Betriebe Glarus Süd,24.078125,22.015,22.50733333333333,21.575866666666663,18.578533333333333,18.269288888888887,16.421180906666667,30.45,28.29,23.66746031746032,24.76984126984127,21.89619047619048,18.853857142857144,20.9956043956044,22.85023809523809,12
69,CHE-108.953.861,St. Moritz Energie,34.445,33.02444444444444,31.992444444444445,31.243566666666663,,,,38.825,36.854,35.044222222222224,35.29666666666667,33.4036,30.14608,32.560153846153845,34.518,18
70,CHE-107.073.265,Elektrizitätswerk Urnäsch AG,31.45609375,29.73698333333333,31.623541666666668,30.690325,23.429825,22.69171111111111,21.575125,38.76770833333333,34.676,30.642222222222223,31.56,29.183,26.6749,28.46134615384615,29.960194444444443,10.9
71,CHE-108.956.291,Elektrizitätswerk Ursern,35.065,33.94,32.144666666666666,32.8712,27.3212,26.82173333333333,26.3168,42.4275,39.168,36.46933333333333,36.59644444444445,35.168533333333336,34.97408,35.115692307692306,35.3176,14.5
72,CHE-107.286.938,Elektrizitätswerk Uznach AG,34.39,31.73,34.03,33.078,27.612,,,43.09,38.77,35.35666666666667,36.95666666666666,33.65,31.858,32.566923076923075,33.65,16.5
73,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),31.625,30.72725,30.12,29.1455,27.8775,27.330166666666667,26.507829933333333,35.97745535714286,33.79571428571428,31.797619047619047,32.09880952380952,30.98357142857143,29.805071428571427,30.332417582417584,31.24559523809524,16.03
74,CHE-102.468.573,Elektro-Genossenschaft Oberrüti,,,23.25133333333333,,23.0166,,,25.37797619047619,26.088942857142857,24.72163492063492,25.33944444444445,24.272180952380957,23.13665428571429,,23.60533333333333,15
75,CHE-102.280.242,Elektro-Genossenschaft Ulisbach,36.211875,36.82353333333333,36.2,35.5545,,,,40.41011904761905,38.340857142857146,35.856031746031746,36.83,35.20542857142857,31.996628571428573,33.519450549450546,34.240206349206346,6.75
76,CHE-116.337.753,Dorfkorporation Weite,41.154375,38.39366666666667,34.49133333333333,33.959,30.644,28.333266666666667,29.72627573333333,44.81130952380953,42.05342857142857,38.763015873015874,40.03666666666667,37.891714285714286,35.62251428571429,37.76076923076923,38.97026984126984,12.44
77,CHE-109.287.239,EnerCom Kirchberg AG,33.675,32.3,32.59,31.996,10.516,9.992,9.2856,41.175,37.8,35.13333333333333,35.13333333333333,33.8,32.4,32.95384615384615,33.8,15
78,CHE-112.166.151,energia alpina,28.9395,27.7528,27.32733333333333,27.0186,13.486,11.782,10.64248,34.71,31.8588,28.432666666666663,29.664666666666665,27.4876,25.15128,27.078,28.5988,13.9
79,CHE-108.953.890,rwt Regionalwerk Toggenburg AG,34.6530625,33.595926666666664,32.010666666666665,31.2212,27.5122,27.075033333333337,26.486457866666665,38.41291666666667,35.9424,33.21244444444444,34.104,32.3892,30.57676,31.86530769230769,33.14418888888889,11
80,CHE-102.720.123,Energie AG Sumiswald,35.23515625,33.90958333333333,33.19000033333333,14.616,10.506,10.018667,9.417733,43.4,38.45857142857143,35.38809523809524,35.923809523809524,34.185,32.3405,33.50975274725275,34.66188492063492,12.5
81,CHE-109.691.468,Energie Opfikon AG,31.3875,30.446321666666663,29.3536,28.49976,23.8646,23.411266666666663,22.75714797333333,34.644962797619044,32.41002857142857,29.69890476190476,30.737007936507936,28.98097619047619,27.111292857142857,28.724450549450548,29.88408492063492,10.3
